,Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,Lattitude,Longtitude,Propertycount,log_price
0,Abbotsford,2,h,1480000.0,3/12/2016,2.5,03067,1.0,1.0,202.0,-37.7996,144.9984,4019.0,6.1702617153949575
1,Abbotsford,2,h,1035000.0,4/02/2016,2.5,03067,1.0,0.0,156.0,-37.8079,144.9934,4019.0,6.014940349792936
2,Abbotsford,3,h,1465000.0,4/03/2017,2.5,03067,2.0,0.0,134.0,-37.8093,144.9944,4019.0,6.165837624690128
3,Abbotsford,3,h,850000.0,4/03/2017,2.5,03067,2.0,1.0,94.0,-37.7969,144.9969,4019.0,5.929418925714293
4,Abbotsford,4,h,1600000.0,4/06/2016,2.5,03067,1.0,2.0,120.0,-37.8072,144.9941,4019.0,6.204119982655925
5,Abbotsford,2,h,941000.0,7/05/2016,2.5,03067,1.0,0.0,181.0,-37.8041,144.9953,4019.0,5.973589623427257
6,Abbotsford,3,h,1876000.0,7/05/2016,2.5,03067,2.0,0.0,245.0,-37.8024,144.9993,4019.0,6.273232834043045
7,Abbotsford,2,h,1636000.0,8/10/2016,2.5,03067,1.0,2.0,256.0,-37.806,144.9954,4019.0,6.213783299335304
8,Abbotsford,3,h,1000000.0,8/10/2016,2.5,03067,1.0,2.0,555.0,-37.8075945,144.9944567,4019.0,6.0
10,Abbotsford,1,u,300000.0,8/10/2016,2.5,03067,1.0,1.0,0.0,-37.8008,144.9973,4019.0,5.477121254719663
11,Abbotsford,2,h,1097000.0,8/10/2016,2.5,03067,1.0,2.0,220.0,-37.801,144.9989,4019.0,6.040206627574711
13,Abbotsford,2,u,760000.0,10/12/2016,2.5,03067,1.0,2.0,0.0,-37.79793040000001,144.9981836,4019.0,5.880813592280791
14,Abbotsford,1,u,481000.0,10/12/2016,2.5,03067,1.0,2.0,0.0,39.7922545,-75.1707053,4019.0,5.682145076373832
15,Abbotsford,2,u,700000.0,12/11/2016,2.5,03067,2.0,1.0,0.0,-37.811,145.0067,4019.0,5.845098040014257
16,Abbotsford,3,h,1350000.0,12/11/2016,2.5,03067,2.0,2.0,214.0,-37.8085,144.9964,4019.0,6.1303337684950066
17,Abbotsford,2,u,750000.0,12/11/2016,2.5,03067,2.0,1.0,0.0,-37.8078,144.9965,4019.0,5.8750612633917
18,Abbotsford,4,h,1985000.0,12/11/2016,2.5,03067,2.0,2.0,621.0,-37.8084,144.9942,4019.0,6.297760511099134
19,Abbotsford,1,u,500000.0,12/11/2016,2.5,03067,1.0,2.0,0.0,-37.7979172,144.9981895,4019.0,5.698970004336019
20,Abbotsford,2,h,1172500.0,13/08/2016,2.5,03067,1.0,1.0,195.0,-37.8084,144.9973,4019.0,6.069112851387121
21,Abbotsford,1,u,441000.0,14/05/2016,2.5,03067,1.0,1.0,0.0,-37.8016,144.9988,4019.0,5.644438589467838
22,Abbotsford,2,h,1310000.0,15/10/2016,2.5,03067,1.0,2.0,238.0,-37.809,144.9976,4019.0,6.117271295655764
23,Abbotsford,3,h,1200000.0,16/07/2016,2.5,03067,2.0,1.0,113.0,-37.8056,144.993,4019.0,6.079181246047625
24,Abbotsford,2,t,847000.0,16/07/2016,2.5,03067,1.0,2.0,126.0,-37.8072794,144.9945594,4019.0,5.927883410330707
25,Abbotsford,3,h,1176500.0,16/07/2016,2.5,03067,1.0,1.0,138.0,-37.8021,144.9965,4019.0,6.07059193151204
26,Abbotsford,3,h,955000.0,17/09/2016,2.5,03067,1.0,0.0,183.0,-37.8022,144.9975,4019.0,5.980003371583746
